name,latex,category,average,error,measurements
BR_B_X3872_K.BR_X3872_D0bar_DS0,{{\cal{B}} ( B \to X(3872) K )\times {\cal{B}} ( X(3872) \to D^{*}(2007)^{0} \bar{D}^{0} )},B/other,0.0008,0.00022360679774997892,"[{'value': 0.0008, 'error': 0.00024494897427831784}]"
BR_B_Y3940_K.BR_Y3940_omega_Jpsi,{{\cal{B}} ( B \to K Y(3940) )\times {\cal{B}} ( Y(3940) \to J/\psi \omega(782) )},B/other,0.00071,0.00033615472627943223,"[{'value': 0.00071, 'error': 0.000457274534606947}]"
BR_B0bar_pi-_DS+,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2010)^{+} \pi^{-} ),Bd/D,0.025816613658206238,0.0012511388980253558,"[{'value': 0.0222, 'error': 0.002716615541441225}, {'value': 0.029900000000000003, 'error': 0.0041}, {'value': 0.0279, 'error': 0.0025347583711273153}]"
BR_B0bar_pbar_D0_p,{\cal{B}} ( \bar{B}^{0} \to D^{0} p \bar{p} ),Bd/D,0.0010356097560970424,6.850315997696213e-05,"[{'value': 0.00118, 'error': 0.00027147743920996457}, {'value': 0.00102, 'error': 9.380831519646858e-05}]"
BR_B0bar_pi0_DS0,{\cal{B}} ( \bar{B}^{0} \to D^{*}(2007)^{0} \pi^{0} ),Bd/D,0.002228383838384649,0.00022247460415730484,"[{'value': 0.00139, 'error': 0.0004093897898091744}, {'value': 0.0030499999999999998, 'error': 0.00042}]"
BR_B0bar_KS0892bar_D0,{\cal{B}} ( \bar{B}^{0} \to D^{0} \bar{K}^{*}(892)^{0} ),Bd/D,0.00042423570009485483,6.290251188754941e-05,"[{'value': 0.00048, 'error': 0.00012662072772268957}, {'value': 0.0004, 'error': 8.185352771872449e-05}]"
BR_B0bar_omega_DS10.BR_DS10_pi-_DS+,{{\cal{B}} ( \bar{B}^{0} \to D_1^{0}(H) \omega(782) )\times {\cal{B}} ( D_1^{0}(H) \to D^{*}(2010)^{+} \pi^{-} )},Bd/D,0.0040999999999999995,0.0016124515496597103,"[{'value': 0.0040999999999999995, 'error': 0.0019390719429665316}]"
BR_B0bar_pbar_Ds+_Lambda0,{\cal{B}} ( \bar{B}^{0} \to D_s^{+} \Lambda \bar{p} ),Bd/D,0.00030886308230909323,7.33947029309803e-05,"[{'value': 0.00036, 'error': 0.0001774823934929885}, {'value': 0.00029, 'error': 0.00010723805294763608}]"
BR_B0bar_DSs-_rho+,{\cal{B}} ( \bar{B}^{0} \to D_s^{*-} \rho(770)^{+} ),Bd/D,0.00041,0.0001310630180840074,"[{'value': 0.00041, 'error': 0.00013735098830440316}]"
BR_B0bar_pi-_DSS+,{\cal{B}} ( \bar{B}^{0} \to D^{**+} \pi^{-} ),Bd/D,0.0234,0.010940292500660124,"[{'value': 0.0234, 'error': 0.014040299142112323}]"
